model_key,relation_key,n_errors,A,B,C,non_A,plausibility_rate,rubric,linearity_score
mistral_7b_instruct,star_constellation,91,82,9,0,9,0.9010989010989011,AB,0.6891693928499162
mistral_7b_instruct,superhero_archnemesis,55,31,21,3,24,0.5636363636363636,ABC,0.4319022019511251
mistral_7b_instruct,superhero_person,35,30,5,0,5,0.8571428571428571,ABC,0.5150375478674858
qwen2_5_7b_instruct,company_ceo,187,116,70,1,71,0.6203208556149733,ABC,0.386550254023895
qwen2_5_7b_instruct,company_hq,345,323,22,0,22,0.936231884057971,ABC,0.477417524457252
qwen2_5_7b_instruct,landmark_in_country,160,151,9,0,9,0.94375,AB,0.5850472483231928
qwen2_5_7b_instruct,landmark_on_continent,255,233,22,0,22,0.9137254901960784,AB,0.620863458576341
qwen2_5_7b_instruct,person_father,747,513,234,0,234,0.6867469879518072,AB,0.3587875354267993
qwen2_5_7b_instruct,person_mother,883,500,383,0,383,0.5662514156285391,AB,0.343406881084699
qwen2_5_7b_instruct,person_occupation,576,570,6,0,6,0.9895833333333334,AB,0.5877032947868674
qwen2_5_7b_instruct,person_plays_instrument,303,298,5,0,5,0.9834983498349835,AB,0.6320450981451579
qwen2_5_7b_instruct,person_plays_position_in_sport,584,503,81,0,81,0.8613013698630136,AB,0.6141506351865939
qwen2_5_7b_instruct,person_plays_pro_sport,45,45,0,0,0,1.0,AB,0.6506419172240998
qwen2_5_7b_instruct,person_university,64,61,3,0,3,0.953125,AB,0.5005335728868487
qwen2_5_7b_instruct,product_by_company,158,145,13,0,13,0.9177215189873418,AB,0.5755017915176841
qwen2_5_7b_instruct,star_constellation,85,78,7,0,7,0.9176470588235294,AB,0.5646375748940624
qwen2_5_7b_instruct,superhero_archnemesis,71,34,36,1,37,0.4788732394366197,ABC,0.4326934012436669
qwen2_5_7b_instruct,superhero_person,59,32,10,17,27,0.5423728813559322,ABC,0.4429137522379964
